TeacherID,Name,SubjectExpertise,AvailabilitySlots,Department,MaxSectionsPerDay,PreferredCampus
KT001,Dr. Sinha,Transform and Numerical Methods,"Monday,Tuesday,Wednesday,Thursday,Friday",Mathematics,4,Any
KT002,Prof. Gupta,Transform and Numerical Methods,"Monday,Tuesday,Wednesday,Thursday,Friday",Mathematics,4,Any
KT003,Dr. Patel,Chemistry,"Monday,Tuesday,Wednesday,Thursday,Friday",Civil Engineering,3,Campus_3
KT004,Prof. Agarwal,Chemistry,"Monday,Tuesday,Wednesday,Thursday,Friday",Civil Engineering,3,Campus_3
KT005,Dr. Mishra,Chemistry,"Monday,Tuesday,Wednesday,Thursday,Friday",Civil Engineering,3,Campus_3
KT006,Ms. Gupta,English,"Monday,Tuesday,Wednesday,Thursday,Friday",Humanities,4,Any
KT007,Dr. Jha,English,"Monday,Tuesday,Wednesday,Thursday,Friday",Humanities,4,Any
KT008,Prof. Pandey,English,"Monday,Tuesday,Wednesday,Thursday,Friday",Humanities,4,Any
KT009,Dr. Kumar,Basic Electronics,"Monday,Tuesday,Wednesday,Thursday,Friday",Electronics & IT,3,Campus_3
KT010,Prof. Reddy,Basic Electronics,"Monday,Tuesday,Wednesday,Thursday,Friday",Electronics & IT,3,Campus_3
KT011,Dr. Rajesh,Basic Electronics,"Monday,Tuesday,Wednesday,Thursday,Friday",Electronics & IT,3,Campus_3
KT012,Prof. Tiwari,Engineering Mechanics,"Monday,Tuesday,Wednesday,Thursday,Friday",Mechanical Engineering,3,Campus_8
KT013,Dr. Shukla,Engineering Mechanics,"Monday,Tuesday,Wednesday,Thursday,Friday",Mechanical Engineering,3,Campus_8
KT014,Prof. Dubey,Engineering Mechanics,"Monday,Tuesday,Wednesday,Thursday,Friday",Mechanical Engineering,3,Campus_8
KT015,Dr. Verma,HASS Elective,"Monday,Tuesday,Wednesday,Thursday,Friday",Humanities,4,Any
KT016,Prof. Sharma,HASS Elective,"Monday,Tuesday,Wednesday,Thursday,Friday",Humanities,4,Any
KT017,Dr. Rao,Basic Electrical Engineering,"Monday,Tuesday,Wednesday,Thursday,Friday",Electrical Engineering,3,Campus_3
KT018,Prof. Saxena,Basic Electrical Engineering,"Monday,Tuesday,Wednesday,Thursday,Friday",Electrical Engineering,3,Campus_3
KT019,Dr. Chandra,Basic Electrical Engineering,"Monday,Tuesday,Wednesday,Thursday,Friday",Electrical Engineering,3,Campus_3
